,,,INPUT PRICE,,,,CALCULATED PRICE TOTAL,,,
Expense,Category,Active,Weekly,Fortnighly,Monthly ,Annual,PAY WEEKLY,PAY FORNIGHTLY,PAY MONTHLY,PAY ANNUALLY
TOTAL,,,,,,,"$1,297.77","$2,595.54","$5,623.68","$67,484.11"
RACV Roadside,Car,FALSE,,,,$114.00,,$0.00,$0.00,$0.00
Soccer Rego,Memberships,FALSE,,,,$480.00,,$0.00,$0.00,$0.00
Ruby’s present,Old,FALSE,,,,"$1,000.00",,$0.00,$0.00,$0.00
Lite and Easy,Old,FALSE,$150.00,,,,,$0.00,$0.00,$0.00
Ring,Old,FALSE,,,$10.00,,,$0.00,$0.00,$0.00
Water,Bills,TRUE,,,$75.00,,$17.31,$34.62,$75.00,$900.00
Gas,Bills,TRUE,,,$65.00,,$15.00,$30.00,$65.00,$780.00
Internet,Bills,TRUE,,,$93.00,,$21.46,$42.92,$93.00,"$1,116.00"
Electricity,Bills,TRUE,,,$77.00,,$17.77,$35.54,$77.00,$924.00
Car Service,Car,TRUE,,,,$800.00,$15.38,$30.77,$66.67,$800.00
Car Rego,Car,TRUE,,,,$930.70,$17.90,$35.80,$77.56,$930.70
Car Insurance,Car,TRUE,,,,"$1,554.53",$29.89,$59.79,$129.54,"$1,554.53"
Fuel,Car,TRUE,,,$200.00,,$46.15,$92.31,$200.00,"$2,400.00"
Dog Food,Dog,TRUE,,,$50.00,,$11.54,$23.08,$50.00,$600.00
Vet Bills,Old,FALSE,,,,$400.00,,$0.00,$0.00,$0.00
Pet Insurance,Old,FALSE,,$17.60,,,,$0.00,$0.00,$0.00
Doggy Day Care,Dog,TRUE,,,$75.00,,$17.31,$34.62,$75.00,$900.00
LinkedIn,Old,FALSE,,,$50.00,,,$0.00,$0.00,$0.00
Gym,Health,TRUE,$100.00,,,,$100.00,$200.00,$433.33,"$5,200.00"
Mortgage Fee,House,TRUE,,,,$395.00,$7.60,$15.19,$32.92,$395.00
Council Rates,House,TRUE,,,,"$1,400.00",$26.92,$53.85,$116.67,"$1,400.00"
OC Fees,House,TRUE,,,,"$6,000.00",$115.38,$230.77,$500.00,"$6,000.00"
Mortgage,House,TRUE,,,"$3,185.00",,$735.00,"$1,470.00","$3,185.00","$38,220.00"
Teacher Health,Insurance,TRUE,,,$115.00,,$26.54,$53.08,$115.00,"$1,380.00"
Dog Grooming,Old,FALSE,,,$100.00,,,$0.00,$0.00,$0.00
SMLSC Membership,Memberships,TRUE,,,,$105.00,$2.02,$4.04,$8.75,$105.00
USLSC Membership,Memberships,TRUE,,,,$120.00,$2.31,$4.62,$10.00,$120.00
MCC Membership,Memberships,TRUE,,,,$500.00,$9.62,$19.23,$41.67,$500.00
Tolls,Other,TRUE,,,$20.00,,$4.62,$9.23,$20.00,$240.00
Phone,Other,TRUE,,,$160.00,,$36.92,$73.85,$160.00,"$1,920.00"
Car Parking,Other,FALSE,$0.00,,,,,$0.00,$0.00,$0.00
Microsoft Onedrive,Subscriptions,TRUE,,,$3.00,,$0.69,$1.38,$3.00,$36.00
Apple,Subscriptions,TRUE,,,$4.50,,$1.04,$2.08,$4.50,$54.00
Microsoft 365,Subscriptions,TRUE,,,,$109.00,$2.10,$4.19,$9.08,$109.00
Spotify,Subscriptions,TRUE,,,$13.99,,$3.23,$6.46,$13.99,$167.88
Pocketsmith,Subscriptions,TRUE,,,$15.00,,$3.46,$6.92,$15.00,$180.00
Prime,Subscriptions,TRUE,,,$10.00,,$2.31,$4.62,$10.00,$120.00
Netflix,Subscriptions,TRUE,,,$10.00,,$2.31,$4.62,$10.00,$120.00
Fairfax,Subscriptions,TRUE,,,$26.00,,$6.00,$12.00,$26.00,$312.00
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,$0.00,$0.00,$0.00
,,,,,,,,$0.00,$0.00,$0.00
,,,,,,,,$0.00,$0.00,$0.00
,,,,,,,,$0.00,$0.00,$0.00
,,,,,,,,$0.00,$0.00,$0.00
,,,,,,,,$0.00,$0.00,$0.00
,,,,,,,,$0.00,$0.00,$0.00
,,,,,,,,$0.00,$0.00,$0.00
,,,,,,,,$0.00,$0.00,$0.00
,,,,,,,,$0.00,$0.00,$0.00
,,,,,,,,$0.00,$0.00,$0.00
,,,,,,,,$0.00,$0.00,$0.00
,,,,,,,,$0.00,$0.00,$0.00
,,,,,,,,$0.00,$0.00,$0.00
,,,,,,,,$0.00,$0.00,$0.00
